Course Code,Course Name,L,T,P,C,Instructor,,Number of Students,Sections,Lecture,Tutorial,Lab,,Preferred Knowledge Equivalent to,Remark,Minor in,HSS/BS elective
Additional Courses: Physics,,,,,,,,,,,,,,,,,
PH 504,Quantum Mechanics II,3,1,0,4,Vinod Chandra(I+T),,,,"E1,E2
(7/202)","H1
(7/107)",,https://docs.google.com/document/d/1sZ7Kr9P6UgRlarSK4FggZSC-LUnbn_f5qGDmaKbOO1M/edit?usp=share_link,,,,BS
PH 506,Methods of Experimental Physics,1,0,3,4,Krishnakanti Dey(I+L),,,,"A1
(7/107)",,"I2,M1
(PH Lab)",Course Plan,,,,BS
PH 507,"Statistical Mechanics
(Science Basket)",3,1,0,4,Prasanna Venkatesh(I+T),,,,"C1,C2
(10/102)","G1
(7/208)",,Course Plan,,,,BS
PH 509 (N),"Computational Physics
(Science Basket)",3,0,0,4,Anand Sengupta(I),,,,"B1,B2
(7/104)",,,Course Plan,,,,BS
PH 607,Topics in Quantum and Statistical Mechanics,3,0,0,4,Arpan Bhattacharyya(I),,,,"P1,P2
(7/206)",,,,,,,BS
PH 612,Quantum Field Theory II,3,1,0,4,Baradhwaj Coleppa(I+T),,,,"D1,D2
(7/207)","M1
(7/101)",,,,,,BS
PH 615,Physics of Two-dimensional Materials,3,0,0,4,Rupak Banerjee(I),,,,"J1,J2
(7/203)",,,Course Plan,,,,BS
PH 643,Quantum Computing and Information,3,0,0,4,Ravinder Puri(I),,,,"N1,N2
(7/206)",,,PH643-Course Plan,,,,BS
PH 644,Tools of Experimental Physics,3,0,0,4,Krista Khaingte(I),,,,"D1,D2
(1/102)",,,PH 644 Course PLan,,,,BS
PH 647,Particle Physics and Gauge Theories,3,0,0,4,Rusa Mandal(I),,,,"L1,L2
(7/204)",,,Course plan,,,,BS
,,,,,,,,,,,,,,,,,
"Additional Courses HSS, MS, Design, IN",,,,,,,,,,,,,,,,,
FP 602,Writing,1,0,3,4,TBD,,,,"H2
(10/103)",,"F1,F2
(7/205,7/102,7/103,7/104,7/105,7/106,7/107)",,,,,
HS 103,French Studies,3,1,0,4,TBD,,,,"I1,I2
(10/102)",,,,,,,Counted towards HSS Elective and Minor
HS 111,Urdu Script and Poetry,3,0,0,4,Mohd. Mubashshir Ahsan(I),,,,"P1,P2
(7/210)",,,Course Plan,,,,Counted towards HSS Elective and Minor
HS 112,Urdu Poetry Interpretation,3,0,0,4,Mohd. Mubashshir Ahsan(I),,,,"K1,K2
(7/205)",,,Course Plan,,,,Counted towards HSS Elective and Minor
"HS 191-I",Special Topics in HSS: Mandarin for Beginners,3,0,0,4,"Kao, Hao -Tsung(I)",,,,"N1,N2
(7/202)",,,,,,,Counted towards HSS Elective and Minor
HS 191-III,Special Topics in HSS: Mandarin for Beginners 2,3,0,0,4,"Kao, Hao -Tsung(I)",,,,"L1,L2
(7/207)",,,,,,,Counted towards HSS Elective and Minor
HS 223,Sanskrit Literature,3,0,0,4,Mana Shah(I),,,,"L1,L2
(Online for first three weeks. The link is in the course plan)
L1,L2
(10/102)",,," Course Plan HS 223
 
Google Classroom Code - gv2oabr",,,,Counted towards HSS Elective and Minor
HS 305,Perspectives in Psychology,3,0,0,4,Meera Mary Sunny(I),,,,"L1,L2
(7/205)",,,Course Plan,,,,Counted towards HSS Elective and Minor
HS 224,Pondering in English: The World Around Us,3,0,0,2,Jooyoung Kim(I),,,,"N1,N2
(10/102)",,,From February 1 to March 19,,,,Counted towards HSS Elective and Minor
HS 326,Harappan Civilization,3,0,0,4,V N Prabhakar(I),,,,"P1,P2
(10/101)",,,Course Plan HS 326,,,,Counted towards HSS Elective and Minor
IN 402,Human Evolution,3,0,0,4,Sharada CV(I),,,,"I1,I2
(7/107)",,,Course plan,Basic knowledge of Biology and Archaeology,,,Counted towards HSS Elective and Minor
HS 421,Introduction to Linguistics,3,0,0,4,Nishaant Choksi(I),,,,"N1,N2
(7/201)",,,https://iitgnacin-my.sharepoint.com/:w:/g/personal/nishaant_choksi_iitgn_ac_in/EdG-gRjMrahbrSe-CKKHeUUB1skl7tw8czHR7icfxEDFbg?e=Ptmtis,,,,Counted towards HSS Elective and Minor
HS 491-XI,Special Topics in HSS: Understanding and Designing Comics and Graphic Novels,3,0,0,4,Argha Manna(I),,,,"M1,M2
(7/206)",,,,,,,Counted towards HSS Elective and Minor
